rectangle_type,num_points,computed_area,relative_error
wide,100,0.777771,0.176541
narrow,100,0.9016,0.0454382
wide,600,1.08564,0.149411
narrow,600,0.944067,0.000476984
wide,1100,0.998729,0.0573958
narrow,1100,0.933673,0.0114815
wide,1600,1.03905,0.100089
narrow,1600,0.9457,0.00125229
wide,2100,0.953695,0.00971719
narrow,2100,0.9464,0.00199341
wide,2600,0.852557,0.0973626
narrow,2600,0.948338,0.00404574
wide,3100,0.928307,0.0171622
narrow,3100,0.9212,0.0246869
wide,3600,0.942507,0.0021282
narrow,3600,0.920111,0.0258397
wide,4100,1.00304,0.0619604
narrow,4100,0.951317,0.00719933
wide,4600,0.940511,0.00424154
narrow,4600,0.92887,0.0165668
wide,5100,0.867367,0.0816821
narrow,5100,0.9408,0.00393554
wide,5600,0.868048,0.0809613
narrow,5600,0.95585,0.0119985
wide,6100,0.916431,0.0297362
narrow,6100,0.941764,0.00291498
wide,6600,0.894142,0.0533344
narrow,6600,0.938721,0.00613644
wide,7100,0.976322,0.0336726
narrow,7100,0.949634,0.00541718
wide,7600,0.951746,0.00765339
narrow,7600,0.941832,0.00284336
wide,8100,0.99982,0.0585511
narrow,8100,0.924104,0.0216126
wide,8600,0.936038,0.00897705
narrow,8600,0.947865,0.00354459
wide,9100,0.916659,0.0294951
narrow,9100,0.951138,0.00701022
wide,9600,0.959048,0.0153846
narrow,9600,0.956317,0.0124926
wide,10100,0.922159,0.0236715
narrow,10100,0.946234,0.00181731
wide,10600,0.94745,0.00310474
narrow,10600,0.952819,0.00878934
wide,11100,0.933675,0.0114787
narrow,11100,0.928263,0.0172089
wide,11600,0.925279,0.0203681
narrow,11600,0.962259,0.0187836
wide,12100,0.995515,0.0539931
narrow,12100,0.949223,0.00498239
wide,12600,0.916659,0.0294951
narrow,12600,0.940178,0.00459431
wide,13100,0.924716,0.0209642
narrow,13100,0.948879,0.00461845
wide,13600,0.955057,0.0111588
narrow,13600,0.939503,0.00530879
wide,14100,0.902573,0.0444083
narrow,14100,0.950113,0.00592503
wide,14600,0.944246,0.00028732
narrow,14600,0.95154,0.00743506
wide,15100,0.94646,0.00205651
narrow,15100,0.931584,0.0136928
wide,15600,0.934198,0.0109258
narrow,15600,0.943941,0.000610005
wide,16100,0.941417,0.00328254
narrow,16100,0.948348,0.00405566
wide,16600,0.918332,0.0277235
narrow,16600,0.932063,0.0131861
wide,17100,0.947198,0.00283784
narrow,17100,0.931057,0.0142505
wide,17600,0.952327,0.00826901
narrow,17600,0.945143,0.000662768
wide,18100,0.945357,0.000889005
narrow,18100,0.939176,0.00565527
wide,18600,0.952351,0.00829416
narrow,18600,0.950811,0.00666326
wide,19100,0.961524,0.0180062
narrow,19100,0.941313,0.00339231
wide,19600,0.97271,0.0298485
narrow,19600,0.9489,0.00464027
wide,20100,0.911269,0.0352014
narrow,20100,0.940702,0.00403878
wide,20600,0.934458,0.0106504
narrow,20600,0.928526,0.0169303
wide,21100,0.954244,0.0102979
narrow,21100,0.930582,0.0147538
wide,21600,0.958711,0.0150272
narrow,21600,0.945972,0.00154051
wide,22100,0.944059,0.000485107
narrow,22100,0.942219,0.00243318
wide,22600,0.974795,0.0320561
narrow,22600,0.953375,0.00937837
wide,23100,0.938965,0.00587862
narrow,23100,0.944194,0.000342235
wide,23600,0.929782,0.0156005
narrow,23600,0.941631,0.00305625
wide,24100,0.91614,0.0300443
narrow,24100,0.948689,0.00441666
wide,24600,0.942968,0.00164003
narrow,24600,0.945102,0.000619632
wide,25100,0.928445,0.0170167
narrow,25100,0.949077,0.00482797
wide,25600,0.931578,0.0136991
narrow,25600,0.945011,0.000522756
wide,26100,0.950236,0.00605512
narrow,26100,0.943053,0.00155033
wide,26600,0.974407,0.0316451
narrow,26600,0.945516,0.00105726
wide,27100,0.927729,0.0177748
narrow,27100,0.953457,0.00946477
wide,27600,0.956362,0.0125409
narrow,27600,0.947404,0.00305676
wide,28100,0.914434,0.03185
narrow,28100,0.939823,0.00496942
wide,28600,0.914425,0.0318602
narrow,28600,0.945117,0.000635559
wide,29100,0.944484,3.53556e-05
narrow,29100,0.940261,0.00450602
wide,29600,0.9328,0.012406
narrow,29600,0.946428,0.00202346
wide,30100,0.919242,0.0267594
narrow,30100,0.948093,0.00378589
wide,30600,0.944572,5.8276e-05
narrow,30600,0.946437,0.00203217
wide,31100,0.934701,0.0103933
narrow,31100,0.95498,0.0110775
wide,31600,0.949447,0.00521894
narrow,31600,0.946816,0.00243433
wide,32100,0.958282,0.0145729
narrow,32100,0.947028,0.00265834
wide,32600,0.95104,0.00690557
narrow,32600,0.944227,0.000307238
wide,33100,0.933443,0.0117252
narrow,33100,0.956137,0.0123019
wide,33600,0.962665,0.0192139
narrow,33600,0.945292,0.000819975
wide,34100,0.912341,0.0340661
narrow,34100,0.94649,0.00208904
wide,34600,0.930628,0.0147055
narrow,34600,0.934625,0.0104728
wide,35100,0.949778,0.00556974
narrow,35100,0.944206,0.000329182
wide,35600,0.927699,0.0178058
narrow,35600,0.945149,0.000669392
wide,36100,0.965212,0.0219099
narrow,36100,0.941452,0.00324575
wide,36600,0.942463,0.00217507
narrow,36600,0.936034,0.00898163
wide,37100,0.94496,0.000469004
narrow,37100,0.951842,0.00775457
wide,37600,0.94403,0.000516075
narrow,37600,0.950444,0.00627456
wide,38100,0.928324,0.0171448
narrow,38100,0.943527,0.00104887
wide,38600,0.967932,0.0247901
narrow,38600,0.940292,0.00447314
wide,39100,0.948841,0.00457747
narrow,39100,0.945713,0.00126556
wide,39600,0.943735,0.000828544
narrow,39600,0.950155,0.00596851
wide,40100,0.942635,0.00199272
narrow,40100,0.945834,0.0013946
wide,40600,0.941563,0.00312822
narrow,40600,0.944807,0.000306729
wide,41100,0.935312,0.00974586
narrow,41100,0.945283,0.000810508
wide,41600,0.937625,0.00729681
narrow,41600,0.941742,0.00293788
wide,42100,0.942193,0.00246098
narrow,42100,0.940055,0.00472419
wide,42600,0.942545,0.00208792
narrow,42600,0.945953,0.00152021
wide,43100,0.925971,0.0196352
narrow,43100,0.951305,0.00718641
wide,43600,0.954152,0.0102006
narrow,43600,0.943048,0.0015558
wide,44100,0.941129,0.00358699
narrow,44100,0.950356,0.00618133
wide,44600,0.939952,0.00483357
narrow,44600,0.944228,0.000306382
wide,45100,0.929315,0.0160947
narrow,45100,0.947971,0.00365641
wide,45600,0.953025,0.00900776
narrow,45600,0.946646,0.00225346
wide,46100,0.973901,0.0311096
narrow,46100,0.938844,0.00600617
wide,46600,0.956149,0.0123152
narrow,46600,0.951778,0.00768699
wide,47100,0.959829,0.016211
narrow,47100,0.949081,0.00483201
wide,47600,0.95567,0.0118076
